Site,Instagram,Seguidores,Data
alphabeto.com,lojaalphabeto,247000,02:28:45
valejet.com,valejet,3225,02:28:52
formoto.com.br,formoto.fabio,539,02:28:59
cantao.com.br,cantao,288000,02:29:02
ecameleca.com.br,ecamelecakids,6040,02:29:09
yaay.com.br,yaayoficial,15000,02:29:16
hipervarejo.com.br,hipervarejo,30000,02:29:18
dellavia.com.br,dellaviapneus,20000,02:29:26
remotox.com.br,loja_remotox,21000,02:29:33
victorinoxstore.com.br,victorinoxbr,54000,02:29:40
imashop.com.br,imashopbr,1999,02:29:42
tecquadros.com,ERROR_INSTAGRAM,-1,02:29:48
elsys.com.br,elsysoficial,35000,02:29:51
autoz.com.br,autozoficial,12000,02:29:53
dipollini.com.br,dipollini,11000,02:29:55
e-cadeiras.com.br,ecadeiras,72000,02:30:02
redbug.com.br,lojaredbug,9959,02:30:09
chocolatesbrasilcacau.com.br,chocolatesbrasilcacau,703000,02:30:16
quadrosdesign.com.br,quadrosdesign,15000,02:30:24
novobebe.com.br,novobebemimos,375000,02:30:31
lojaempoeirados.com.br,canalempoeirados,81000,02:30:40
abrakadabra.com.br,abrakadabraoficial,72000,09:46:44
shopfari.com.br,ERROR_DOMAIN,-1,09:46:50
vinhodelrei.com.br,vinhodelrei,2459,09:46:57
mundoaudio.com.br,mundoaudio,928,09:47:04
minercloud.com.br,ERROR_INSTAGRAM,-1,09:47:10
supermercadodigital.com.br,supermercadodigital,5123,09:47:18
ciapc.com.br,ciapc.informatica,34000,09:48:06
bulkinkjet.com.br,ERROR_INSTAGRAM,-1,09:48:12
drdminas.com.br,drdminasoficial,2990,09:48:19
lojaafghan.com.br,apaixonadasafghan,260000,09:48:26
oxfordporcelanas.com.br,oxford_online,638000,09:48:28
tia.com.ec,ERROR_INSTAGRAM,-1,09:48:34
eletrogate.com,eletrogate,15000,09:48:37
valfrance.com.br,valfrancelingerie,5241,09:48:44
dermomanipulacoes.com.br,dermomanipulacoes,7541,09:48:51
penoestribo.com.br,penoestribobraaap,38000,09:48:58
penoestribo.com.br,penoestribobraaap,38000,09:49:27
rededabeleza.com.br,ERROR_INSTAGRAM,-1,09:49:33
emporiodasbiblias.com.br,ERROR_DOMAIN,-1,09:49:39
aspacosmeticos.com.br,aspacosmeticos,76000,09:49:47
decorassentos.com.br,decorassentos,4937,09:49:54
kitchenaid.com.br,kitchenaidbrasil,350000,10:11:08
priacessorios.com.br,prischiavinato,120000,10:11:16
mpbrinquedos.com.br,mpbrinquedos,17000,10:11:18
karsten.com.br,karstenoficial,594000,10:11:21
oboticario.pt,oboticariopt,164000,10:11:24
marinbrasil.com.br,ERROR_INSTAGRAM,-1,10:11:30
ofner.com.br,ofner,126000,10:11:32
cameramais.com.br,camera.mais,14000,10:11:41
beckercalcados.com.br,beckercalcados,27000,10:11:48
livrofacil.net,ERROR_INSTAGRAM,-1,10:12:40
tklighthouse.com.br,ERROR_DOMAIN,-1,10:12:46
caxiasshopping.com.br,caxiasshopping,72000,10:12:48
bibelokids.com.br,lojabibelokids,5676,10:12:56
lojaclamper.com.br,clamper_oficial,17000,10:13:03
morofishing.com.br,fujitacklebr,2940,10:13:10
ohboy.com.br,ohboyoficial,325000,10:13:18
lojaoptisom.com.br,loja_optisom,64000,10:13:25
casadasembalagens.com.br,casadasembalagens.curitiba,4038,10:13:32
mbembalagens.com.br,distribuidorambembalagens,6868,10:13:39
enviou.com.br,ERROR_INSTAGRAM,-1,10:13:40
embelleze.com,embelleze,1000000,10:13:42
shockgames.com.br,shockgamesoficial,5106,10:13:44
serenatanet.com.br,serenatanet,21000,10:13:47
besni.com.br,lojasbesni,128000,10:13:50
chezfrance.com.br,ERROR,-1,10:13:51
asuissa.com.br,ERROR_INSTAGRAM,-1,10:13:57
redegrupo.com.br,ERROR_DOMAIN,-1,10:14:03
elcabriton.com,elcabriton,-1,10:14:09
agorasaude.com.br,agorasaudeoficial,516,10:14:12
fujioka.com.br,fujiokaonline,118000,10:14:14
dermabox.com.br,lojadermabox,113000,10:14:21
topmel.com.br,ERROR,-1,10:14:31
fortaosuplementos.com.br,fortaosuplementos,12000,10:14:38
festaexpress.com,ERROR_DOMAIN,-1,10:14:41
flowersperfumarias.com.br,ERROR_INSTAGRAM,-1,10:14:42
mustbe.com.br,ERROR_INSTAGRAM,-1,10:14:48
marinhocestas.com.br,ERROR_INSTAGRAM,-1,10:14:48
ordeleite.com.br,ERROR_INSTAGRAM,-1,10:14:55
manole.com.br,oficialmanole,54000,10:15:01
heckelverri.com.br,heckelverrioficial,11000,10:15:08
atau.com.br,ERROR_INSTAGRAM,-1,10:15:14
sporttennis.com.br,sporttenniscwb,1885,10:15:21
nafnaf.com.co,ERROR_INSTAGRAM,-1,10:15:33
artesanatoemvime.com.br,ERROR_INSTAGRAM,-1,10:15:39
invertstore.com.br,invertstoreoficial,2729,10:15:46
dryzun.com.br,dryzunjoias,69000,10:15:54
fieroshop.com.br,fiero_oficial,49000,10:15:56
jonygames.com.br,jonygames,2418,10:16:04
gorilashield.com.br,gshieldbr,137000,10:16:07
planetgirlsstore.com.br,planetgirlsforyou,1000000,10:16:14
aesportiva.com.br,aesportivadigital,-1,13:46:10
bateriaautomotiva.com.br,ERROR_INSTAGRAM,-1,13:46:16
patins.com.br,patins.com.br,-1,13:46:23
centermedical.com.br,ERROR_INSTAGRAM,-1,13:46:47
reycameras.com.br,reycameras,15684,13:46:54
carolinacosta.com.br,carolinacosta_semijoias,65145,13:47:01
copelcolchoes.com.br,copelcolchoes,4515,13:47:04
bebefacil.com.br,bebefacil,16555,13:47:11
acetplace.com.br,acetplaceembalagens,88470,13:47:15
trousseau.com.br,trousseauoficial,233751,13:47:18
ciclourbano.com.br,ciclourbano,7385,13:47:26
sleephouse.com.br,sleephousecolchoes,8116,13:47:28
toptherm.com.br,topthermoficial,73570,13:47:30
cwbsuplementos.com.br,cwbsuplementos,12806,13:47:38
webfones.com.br,ERROR_INSTAGRAM,-1,13:53:57
feed.com.br,feedbrasil,59837,13:53:59
triya.com.br,triya_brasil,243160,13:54:21
thipos.com,ERROR_INSTAGRAM,-1,13:54:39
vivreshop.com.br,ERROR_INSTAGRAM,-1,13:54:45
vaidosacosmeticos.com.br,ERROR_INSTAGRAM,-1,13:54:51
quintadellarte.com.br,quintadellarte,39697,13:54:58
bucaneirosjogos.com.br,bucaneiros,22597,13:55:21
aviator.com.br,aviatoroficial,23377,13:55:43
cartuchoetc.com.br,ERROR_INSTAGRAM,-1,13:56:04
livropostal.com.br,livropostal,-1,09:35:26
tele-rio.com,ERROR,-1,09:35:47
pontodasublimacao.com.br,pontodasublimacao.oficial,29502,09:35:51
izzygames.com.br,izzygamesbr,3368,09:36:13
storex.com.br,storexsexshop,1484,09:36:35
ozonioline.com.br,ozonio.line,32714,09:36:58
adatina.com,ERROR_INSTAGRAM,-1,09:37:19
suprinform.com.br,suprinform,830,09:37:27
fisiofernandes.com.br,ERROR_INSTAGRAM,-1,09:37:44
seuenxoval.com.br,seuenxoval,2071,09:37:51
zelao.com.br,zelaoracing,76508,09:38:13
projetoarduino.com.br,ERROR_INSTAGRAM,-1,09:38:35
joga10.com.br,joga10_oficial,1897,09:38:42
ogio.com.br,ogiobrasil,10793,09:39:04
artescol.com.br,ERROR_INSTAGRAM,-1,09:39:26
